,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
132,佩德罗·阿莫多瓦,"['安东尼奥·班德拉斯', '埃伦娜·安纳亚', '玛丽萨·帕雷德斯', '扬·科奈特', '布兰卡·苏亚雷斯']",7.6,['2011'],['惊悚'],117,101414,西班牙语, 西班牙,吾栖之肤
133,盖瑞·马歇尔,"['朱莉娅·罗伯茨', '安妮·海瑟薇', '杰西卡·阿尔芭', '杰西卡·贝尔', '布莱德利·库珀']",7.0,['2010'],"['喜剧', '爱情']",125,96613,英语, 美国,情人节
134,盖·里奇,"['亨利·卡维尔', '艾米·汉莫', '艾丽西亚·维坎德', '西尔维斯特·格罗特', '休·格兰特']",8.0,['2015'],"['喜剧', '动作', '冒险']",116,101000,英语, 美国,秘密特工
135,塞思·麦克法兰,"['塞思·麦克法兰', '马克·沃尔伯格', '阿曼达·塞弗里德', '杰西卡·巴斯', '吉奥瓦尼·瑞比西']",6.6,['2015'],['喜剧'],115,80612,英语, 美国,泰迪熊2
136,西恩·埃利斯,"['肖恩·比格斯代夫', '艾米莉娅·福克斯', '迈克尔·迪克森', '肖恩·埃文斯', '米歇尔·雷恩']",7.8,['2006'],"['剧情', '喜剧', '爱情']",102,95197,英语, 英国,超市夜未眠
137,安妮·弗莱彻,"['查宁·塔图姆', '珍娜·迪万', '马里奥', '德鲁·西德拉', '瑞切尔·格里菲斯']",7.7,['2006'],"['剧情', '爱情', '歌舞']",104,79444,英语, 美国,舞出我人生
138,亚历杭德罗·阿格雷斯蒂,"['基努·里维斯', '桑德拉·布洛克', '克里斯托弗·普卢默', '艾邦·摩斯-巴克拉赫', '维勒克·范阿梅尔罗伊']",7.7,['2006'],"['剧情', '爱情', '奇幻']",99,85153,英语, 美国,触不到的恋人
139,约翰·拉塞特,"['欧文·威尔逊', '王牌接线员拉里', '迈克尔·凯恩', '艾米莉·莫迪默', '艾迪·伊扎德']",7.6,['2011'],"['喜剧', '动画', '冒险']",106,67074,英语, 美国,赛车总动员2
140,法提赫·阿金,"['海登·克里斯滕森', '娜塔莉·波特曼', '奥兰多·布鲁姆', '克里斯蒂娜·里奇', '李美琪']",7.6,['2009'],"['剧情', '爱情']",103,93227,英语, 美国,纽约，我爱你
141,朱浩伟,"['吴恬敏', '亨利·戈尔丁', '杨紫琼', '嘉玛·陈', '奥卡菲娜']",6.1,['2018'],"['喜剧', '爱情']",121,89285,英语, 美国,摘金奇缘
142,欧格斯·兰斯莫斯,"['科林·法瑞尔', '蕾切尔·薇兹', '约翰·C·赖利', '蕾雅·赛杜', '奥利维娅·科尔曼']",7.6,['2015'],"['剧情', '喜剧', '奇幻']",118,93708,英语, 爱尔兰,龙虾
