,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
681,克里斯多夫·甘斯,"['拉达·米切尔', '肖恩·宾', '劳瑞·侯登', '黛博拉·卡拉·安格', '金·寇兹']",7.6,['2006'],"['悬疑', '恐怖']",125,191512,英语, 加拿大,寂静岭
682,黄信尧,"['庄益增', '陈竹昇', '戴立忍', '张少怀', '陈以文']",8.7,['2017'],"['剧情', '喜剧', '犯罪']",102,211605,闽南语, 中国台湾,大佛普拉斯
683,理查德·柯蒂斯,"['比尔·奈伊', '肯尼思·布拉纳', '菲利普·塞默·霍夫曼', '尼克·弗罗斯特', '汤姆·斯图里奇']",8.6,['2009'],"['剧情', '喜剧', '音乐']",116,198781,英语, 英国,海盗电台
684,亚利桑德罗·冈萨雷斯·伊纳里图,"['迈克尔·基顿', '爱德华·诺顿', '艾玛·斯通', '扎克·加利凡纳基斯', '安德丽亚·瑞斯波罗格']",7.9,['2014'],"['剧情', '喜剧']",119,189684,英语, 美国,鸟人
685,史蒂文·斯皮尔伯格,"['杰瑞米·艾文', '彼得·穆兰', '艾米丽·沃森', '本尼迪克特·康伯巴奇', '汤姆·希德勒斯顿']",8.1,['2011'],"['剧情', '战争']",146,187002,英语, 美国,战马
686,布莱克·爱德华兹,"['奥黛丽·赫本', '乔治·佩帕德', '帕德里夏·妮尔', '巴迪·艾布森', '马丁·鲍尔萨姆']",8.1,['1961'],"['剧情', '喜剧', '爱情']",115,168567,英语, 美国,蒂凡尼的早餐
687,朴赞郁,"['金敏喜', '金泰梨', '河正宇', '赵震雄', '金海淑']",8.1,['2016'],"['剧情', '悬疑', '同性']",145,188373,韩语, 韩国,小姐
688,南希·迈耶斯,"['罗伯特·德尼罗', '安妮·海瑟薇', '蕾妮·罗素', '安德雷斯·霍尔姆', '乔乔·库什纳']",7.8,['2015'],['喜剧'],121,166349,英语, 美国,实习生
689,亚历杭德罗·阿梅纳瓦尔,"['妮可·基德曼', '菲奥纽拉·弗拉纳根', '克里斯托弗·埃克莱斯顿', '阿拉济纳·曼恩', '詹姆斯·本特利']",8.1,['2001'],"['剧情', '悬疑', '恐怖']",104,175641,英语, 美国,小岛惊魂
690,赵圣熙,"['宋仲基', '朴宝英', '柳演锡', '张荣男', '金香起']",7.9,['2012'],"['爱情', '奇幻']",124,146336,韩语, 韩国,狼少年
691,萨基特·乔杜里,"['伊尔凡·可汗', '萨巴·卡玛尔', '内哈·迪胡皮阿', '迪帕克·迪布里亚尔', '蒂希塔·塞加尔']",7.9,['2017'],"['剧情', '喜剧']",132,135986,印地语, 印度,起跑线
692,让-雅克·阿诺,"['珍·玛奇', '梁家辉', '弗雷德丽克·梅南热', '阿诺·乔瓦尼内蒂', '梅尔维尔·珀波']",8.2,['1992'],"['剧情', '爱情', '情色', '传记']",115,148412,英语, 法国,情人
693,德鲁·高达,"['克里斯汀·康奈利', '理查德·詹金斯', '弗兰·克朗茨', '布莱德利·惠特福德', '杰西·威廉姆斯']",7.5,['2012'],"['喜剧', '悬疑', '恐怖']",95,163143,英语, 美国,林中小屋
694,热拉尔·乌里,"['路易·德·菲奈斯', '布尔维尔', '克劳迪奥·布鲁克', '安德丽·帕里西', '科莱特·布罗塞']",8.9,['1966'],"['喜剧', '战争']",132,149271,法语, 法国,虎口脱险
695,迈克·尼科尔斯,"['安妮·班克罗夫特', '达斯汀·霍夫曼', '凯瑟琳·罗斯', '威廉·丹尼尔斯', '莫瑞·汉密尔顿']",8.0,['1967'],"['剧情', '喜剧', '爱情']",106,140353,英语, 美国,毕业生
696,克里斯·哥伦布,"['麦考利·卡尔金', '乔·佩西', '丹尼尔·斯特恩', '凯瑟琳·欧哈拉', '约翰·赫德']",7.9,['1992'],['喜剧'],120,103958,英语, 美国,小鬼当家2
697,克林特·伊斯特伍德,"['克林特·伊斯特伍德', '梅丽尔·斯特里普', '安妮·科利', '维克多·斯勒扎克', '吉姆·海尼']",8.6,['1995'],"['剧情', '爱情']",135,137275,英语, 美国,廊桥遗梦
698,黄东赫,"['沈恩京', '罗文姬', '朴仁焕', '李阵郁', '郑真英']",8.3,['2014'],"['喜剧', '奇幻']",124,148001,韩语, 韩国,奇怪的她
699,埃德加·赖特,"['西蒙·佩吉', '尼克·弗罗斯特', '比尔·奈伊', '凯特·阿什菲尔德', '彼得·塞拉菲诺威茨']",7.7,['2004'],"['喜剧', '恐怖']",99,140178,英语, 英国,僵尸肖恩
700,布拉德·塞伯宁,"['尼古拉斯·凯奇', '梅格·瑞恩', '安德鲁·布劳尔', '丹尼斯·弗兰茨', '科鲁姆·费奥瑞']",7.9,['1998'],"['剧情', '爱情', '奇幻']",114,131135,英语, 美国,天使之城
701,盖·里奇,"['本尼西奥·德尔·托罗', '丹尼斯·法里纳', '维尼·琼斯', '布拉德·皮特', '拉德·舍博德兹加']",8.5,['2000'],"['喜剧', '犯罪']",104,141511,英语, 英国,偷拐抢骗
702,萨姆·门德斯,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '迈克尔·珊农', '芮安·辛普金斯', '克里斯托弗·菲茨杰拉德']",8.1,['2008'],"['剧情', '爱情']",119,142488,英语, 美国,革命之路
703,阿德里安·莱恩,"['杰瑞米·艾恩斯', '梅兰尼·格里菲斯', '弗兰克·兰格拉', '多米尼克·斯万', '苏珊妮·谢泼德']",8.2,['1997'],"['剧情', '爱情', '情色']",137,136288,英语, 美国,一树梨花压海棠
704,南希·迈耶斯,"['琳赛·洛翰', '丹尼斯·奎德', '娜塔莎·理查德森', '伊莲·亨德里克斯', '丽萨·安·沃尔特']",8.3,['1998'],"['喜剧', '爱情', '家庭', '儿童']",127,133640,英语, 美国,天生一对
705,马克·福斯特,"['赫立德·阿卜杜拉', '阿托莎·利奥妮', '肖恩·托布 ']",8.2,['2007'],['剧情'],128,123454,英语, 美国,追风筝的人
706,亚利桑德罗·冈萨雷斯·伊纳里图,"['布拉德·皮特', '凯特·布兰切特', '盖尔·加西亚·贝纳尔', '艾德里安娜·巴拉扎', '菊地凛子']",8.0,['2006'],['剧情'],143,122957,英语, 法国,通天塔
707,贝纳尔多·贝托鲁奇,"['迈克尔·皮特', '伊娃·格林', '路易·加瑞尔', '安娜·钱斯勒', '罗宾·瑞努奇']",8.0,['2003'],"['剧情', '爱情', '情色']",115,122405,英语, 法国,戏梦巴黎
708,弗朗西斯·福特·科波拉,"['加里·奥德曼', '薇诺娜·瑞德', '安东尼·霍普金斯', '基努·里维斯', '理查德·E·格兰特']",7.8,['1992'],"['爱情', '恐怖']",128,118716,英语, 美国,惊情四百年
709,理查德·拉·格拉文斯,"['希拉里·斯万克', '杰拉德·巴特勒', '凯西·贝茨', '丽莎·库卓', '吉娜·格申']",8.1,['2007'],"['剧情', '爱情']",126,116896,英语, 美国,附注：我爱你
710,格里高利·霍布里特,"['理查·基尔', '劳拉·琳妮', '约翰·马奥尼', '阿尔法·伍达德', '弗兰西斯·麦克多蒙德']",8.4,['1996'],"['剧情', '悬疑', '犯罪']",129,126536,英语, 美国,一级恐惧
711,史蒂文·斯皮尔伯格,"['汤姆·克鲁斯', '科林·法瑞尔', '马克斯·冯·叙多夫', '萨曼莎·莫顿', '凯瑟琳·莫里斯']",7.8,['2002'],"['科幻', '惊悚', '犯罪']",145,114213,英语, 美国,少数派报告
712,伍迪·艾伦,"['乔纳森·莱斯·梅耶斯', '斯嘉丽·约翰逊', '马修·古迪', '艾米莉·莫迪默', '布莱恩·考克斯']",8.1,['2005'],"['剧情', '爱情', '悬疑']",124,118608,英语, 英国,赛末点
713,马丁·麦克唐纳,"['科林·法瑞尔', '布莱丹·格里森', '克蕾曼丝·波西', '拉尔夫·费因斯', '吕迪·布洛姆']",8.1,['2008'],"['剧情', '喜剧', '犯罪']",107,104704,英语, 英国,杀手没有假期
714,罗伯·马歇尔,"['蕾妮·齐薇格', '凯瑟琳·泽塔-琼斯', '理查·基尔', '奎恩·拉提法', '约翰·C·赖利']",8.8,['2002'],"['喜剧', '歌舞', '犯罪']",113,98560,英语, 美国,芝加哥
715,史蒂文·斯皮尔伯格,"['鲁比·巴恩希尔', '马克·里朗斯', '比尔·哈德尔', '丽贝卡·豪尔', '拉菲·斯波']",6.8,['2016'],"['奇幻', '冒险']",117,64951,英语, 美国,圆梦巨人
716,史蒂文·斯皮尔伯格,"['梅丽尔·斯特里普', '汤姆·汉克斯', '莎拉·保罗森', '鲍勃·奥登科克', '崔西·莱茨']",8.3,['2017'],"['剧情', '传记', '历史']",116,80159,英语, 美国,华盛顿邮报
717,史蒂文·斯皮尔伯格,"['罗伊·沙伊德尔', '罗伯特·肖', '理查德·德莱弗斯', '洛兰·加里', '莫瑞·汉密尔顿']",7.7,['1975'],"['剧情', '惊悚', '冒险']",124,66893,英语, 美国,大白鲨
718,拉斯·冯·提尔,"['比约克', '凯瑟琳·德纳芙', '大卫·摩斯', '彼得·斯特曼', '乔尔·格雷']",8.2,['2000'],"['剧情', '歌舞']",140,70716,英语, 丹麦,黑暗中的舞者
719,史蒂文·斯皮尔伯格,"['哈里森·福特', '凯伦·阿兰', '保罗·弗里曼', '约翰·瑞斯-戴维斯']",7.9,['1981'],"['动作', '冒险']",115,61684,英语, 美国,夺宝奇兵
720,史蒂文·斯皮尔伯格,"['汤姆·汉克斯', '马克·里朗斯', '斯科特· 谢泼德', '艾米·莱安', '塞巴斯蒂安·科赫']",8.1,['2015'],"['剧情', '传记', '历史']",141,72428,英语, 美国,间谍之桥
721,柯蒂斯·汉森,"['埃米纳姆', '金·贝辛格', '梅奇·费法', '布莱特妮·墨菲', '伊万·琼斯']",8.2,['2002'],"['剧情', '音乐']",110,65627,英语, 美国,8英里
722,史蒂文·斯皮尔伯格,"['汤姆·克鲁斯', '达科塔·范宁', '米兰达·奥图', '贾斯汀·查特文', '蒂姆·罗宾斯']",6.6,['2005'],"['科幻', '惊悚', '灾难']",116,60578,英语, 美国,世界之战
723,阿尔弗雷德·希区柯克,"['加里·格兰特', '爱娃·玛丽·森特', '詹姆斯·梅森', '洁茜·罗伊丝·兰迪斯', '里奥.G.卡罗尔']",8.2,['1959'],"['动作', '悬疑', '犯罪']",136,60100,英语, 美国,西北偏北
724,史蒂文·斯皮尔伯格,"['哈里森·福特', '肖恩·康纳利', '丹霍姆·艾略特', '瑞凡·菲尼克斯', '约翰·瑞斯-戴维斯']",8.2,['1989'],"['动作', '冒险']",127,45975,英语, 美国,夺宝奇兵3
725,阿尔弗雷德·希区柯克,"['劳伦斯·奥利弗', '琼·芳登', '乔治·桑德斯', '朱迪丝·安德森', '尼格尔·布鲁斯']",8.3,['1940'],"['剧情', '爱情', '悬疑']",130,51616,英语, 美国,蝴蝶梦
726,史蒂文·斯皮尔伯格,"['哈里森·福特', '希亚·拉博夫', '凯特·布兰切特', '凯伦·阿兰', '雷·温斯顿']",7.1,['2008'],"['动作', '惊悚', '冒险']",122,40992,英语, 美国,夺宝奇兵4
727,梅尔·史密斯,"['罗温·艾金森', '彼特·麦尼科', '约翰·米尔斯', '伯特·雷诺兹', '约翰尼·盖尔克奇']",8.0,['1997'],"['喜剧', '家庭']",90,38943,英语, 英国,憨豆先生的大灾难
728,西德尼·吕美特,"['阿尔·帕西诺', '约翰·凯泽尔', '查尔斯·德恩', '克里斯·萨兰登', '詹姆斯·布罗德里克']",8.6,['1975'],"['剧情', '喜剧', '犯罪']",125,48774,英语, 美国,热天午后
729,史蒂文·斯皮尔伯格,"['哈里森·福特', '凯特·卡普肖', '关继威', '阿莫瑞什·普瑞', '罗珊·塞斯']",7.7,['1984'],"['动作', '冒险']",118,37644,英语, 美国,夺宝奇兵2
730,佩德罗·阿莫多瓦,"['佩内洛普·克鲁兹', '卡门·毛拉', '洛拉·杜埃尼亚斯', '布兰卡·波蒂略', '约阿娜·科沃']",8.1,['2006'],"['剧情', '喜剧', '悬疑', '犯罪']",121,32752,西班牙语, 西班牙,回归
731,伊利亚·卡赞,"['费雯·丽', '马龙·白兰度', '金·亨特', '卡尔·莫尔登', '鲁迪·邦德']",8.3,['1951'],['剧情'],122,29402,英语, 美国,欲望号街车
732,罗纳德·尼姆,"['格利高里·派克', '罗纳德·斯夸尔', '乔伊丝·格伦菲尔', '简·格里菲思', 'A·E·马修斯']",8.1,['1954'],"['喜剧', '爱情']",90,23395,英语, 英国,百万英镑
733,布拉德·塞伯宁,"['克里斯蒂娜·里奇', '艾瑞克·爱都', '本·斯坦', '比尔·普尔曼', '昌西·莱奥普拉迪']",8.1,['1995'],"['喜剧', '奇幻']",100,20031,英语, 美国,鬼马小精灵
734,韦斯·安德森,"['吉恩·哈克曼', '安杰丽卡·休斯顿', '本·斯蒂勒', '格温妮斯·帕特洛', '卢克·威尔逊']",8.1,['2001'],"['剧情', '喜剧', '家庭']",110,28479,英语, 美国,天才一族
735,詹姆斯·曼高德,"['薇诺娜·瑞德', '安吉丽娜·朱莉', '克里·杜瓦尔', '布莱特妮·墨菲', '伊丽莎白·莫斯']",8.2,['1999'],"['剧情', '传记']",127,27240,英语, 美国,移魂女郎
736,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
737,许诚毅,"['白百何', '井柏然', '姜武', '金燕玲', '钟汉良']",6.7,['2015'],"['喜剧', '奇幻', '古装']",118,377574,汉语普通话, 中国大陆,捉妖记
738,田羽生,"['韩庚', '郑恺', '于文文', '曾梦雪', '罗米']",5.5,['2017'],"['喜剧', '爱情']",120,308239,汉语普通话, 中国大陆,前任3：再见前任
739,郭敬明,"['杨幂', '柯震东', '郭采洁', '郭碧婷', '谢依霖']",4.7,['2013'],"['剧情', '喜剧', '爱情']",116,323753,汉语普通话, 中国大陆,小时代
740,徐峥,"['徐峥', '赵薇', '包贝尔', '杜鹃', '葛民辉']",5.7,['2015'],['喜剧'],114,298131,汉语普通话, 中国大陆,港囧
741,大鹏,"['大鹏', '袁姗姗', '柳岩', '吴君如', '曾志伟']",5.8,['2015'],['喜剧'],113,295509,汉语普通话, 中国大陆,煎饼侠
742,吴昱翰,"['黄才伦', '艾伦', '宋阳', '卢靖姗', '沈腾']",4.6,['2018'],['喜剧'],113,236286,汉语普通话, 中国大陆,李茶的姑妈
743,张一白,"['邓超', '白百何', '杨洋', '张天爱', '岳云鹏']",5.3,['2016'],"['喜剧', '爱情']",113,241097,汉语普通话, 中国大陆,从你的全世界路过
744,俞白眉,"['邓超', '杨幂', '古力娜扎', '栾元晖', '秦越']",5.0,['2014'],"['喜剧', '爱情']",116,250130,汉语普通话, 中国大陆,分手大师
745,韦正,"['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲']",3.1,['2018'],"['喜剧', '冒险']",117,211954,汉语普通话, 中国大陆,爱情公寓
746,张一白,"['彭于晏', '倪妮', '郑恺', '魏晨', '张子萱']",5.5,['2014'],['爱情'],119,199505,汉语普通话, 中国大陆,匆匆那年
747,苏有朋,"['陈都灵', '欧豪', '马思纯', '杨洋', '段博文']",5.5,['2015'],['爱情'],117,181766,汉语普通话, 中国大陆,左耳
748,郭敬明,"['杨幂', '柯震东', '郭采洁', '凤小岳', '郭碧婷']",4.9,['2013'],"['剧情', '喜剧', '爱情']",116,185834,汉语普通话, 中国大陆,小时代2：青木时代
749,郭敬明,"['杨幂', '柯震东', '郭采洁', '陈学冬', '郭碧婷']",4.5,['2014'],"['剧情', '喜剧', '爱情']",126,177222,汉语普通话, 中国大陆,小时代3：刺金时代
750,程小东,"['肖战', '李沁', '孟美岐', '唐艺昕', '刘端端']",4.9,['2019'],"['爱情', '奇幻', '古装']",101,266561,汉语普通话, 中国大陆,诛仙
751,易小星,"['白客', '杨子姗', '陈柏霖', '马天宇', '刘循子墨']",5.6,['2015'],"['喜剧', '奇幻', '冒险', '古装']",95,163857,汉语普通话, 中国大陆,万万没想到
752,张嘉佳,"['梁朝伟', '金城武', '陈奕迅', '杨颖', '张榕容']",4.1,['2016'],"['喜剧', '爱情']",128,192239,汉语普通话, 中国大陆,摆渡人
753,郭敬明,"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖']",4.7,['2015'],"['喜剧', '爱情']",116,130506,汉语普通话, 中国大陆,小时代4：灵魂尽头
754,俞白眉,"['邓超', '孙俪', '代乐乐', '梁超', '杨新鸣']",4.1,['2015'],['喜剧'],124,123083,汉语普通话, 中国大陆,恶棍天使
755,徐静蕾,"['吴亦凡', '王丽坤', '徐静蕾', '戈登·亚历山大', '丛珊']",4.9,['2015'],['爱情'],109,144906,汉语普通话, 中国大陆,有一个地方只有我们知道
756,张艺谋,"['金城武', '刘德华', '章子怡', '宋丹丹', '刘腾远']",6.0,['2004'],"['剧情', '武侠', '古装']",119,142359,汉语普通话, 中国大陆,十面埋伏
757,李玉,"['范冰冰', '韩庚', '齐溪', '沈婷婷', '沙溢']",5.7,['2015'],"['喜剧', '爱情']",105,127897,汉语普通话, 中国大陆,万物生长
758,杨文军,"['黄晓明', '杨幂', '佟大为', '杨颖', '谢依霖']",3.7,['2015'],['爱情'],107,125283,汉语普通话, 中国大陆,何以笙箫默
759,周拓如,"['吴亦凡', '刘亦菲', '金世佳', '李沁', '李梦']",4.1,['2016'],"['剧情', '爱情']",98,113179,汉语普通话, 中国大陆,致青春·原来你还在这里
760,韩杰,"['王俊凯', '迪丽热巴', '董子健', '李鸿其', '董李无忧']",5.0,['2017'],"['剧情', '奇幻']",109,108283,汉语普通话, 中国大陆,解忧杂货店
761,郑保瑞,"['郭富城', '冯绍峰', '赵丽颖', '小沈阳', '罗仲谦']",4.4,['2018'],"['喜剧', '爱情', '奇幻']",116,116134,汉语普通话, 中国大陆,西游记女儿国
762,吴君如,"['吴君如', '沈腾', '岳云鹏', '张译', 'Papi酱']",4.2,['2017'],"['喜剧', '恐怖']",88,106040,汉语普通话, 中国大陆,妖铃铃
763,刘镇伟,"['孙俪', '郑中基', '朱茵', '梁咏琪', '郭德纲']",5.2,['2010'],"['喜剧', '爱情', '奇幻', '古装']",86,134377,汉语普通话, 中国大陆,越光宝盒
764,林孝谦,"['陈意涵', '刘以豪', '张书豪', '陈庭妮', '吴映洁']",4.8,['2018'],['爱情'],105,132366,汉语普通话, 中国台湾,比悲伤更悲伤的故事
765,赵天宇,"['井柏然', '杨颖', '李沁', '王思聪', '刘循子墨']",4.8,['2016'],['爱情'],105,98380,汉语普通话, 中国大陆,微微一笑很倾城
766,郭敬明,"['范冰冰', '吴亦凡', '陈学冬', '陈伟霆', '郭采洁']",3.8,['2016'],"['动画', '奇幻']",121,117416,汉语普通话, 中国大陆,爵迹
767,王岳伦,"['立威廉', '黄奕', '刘桦', '邓家佳', '李彧']",5.1,['2008'],"['喜剧', '古装']",92,99706,汉语普通话, 中国大陆,十全九美
768,田羽生,"['郑恺', '郭采洁', '王传君', '张殿伦', '张艺兴']",5.1,['2015'],"['喜剧', '爱情']",114,77161,汉语普通话, 中国大陆,前任2：备胎反击战
769,叶伟信,"['刘亦菲', '古天乐', '余少群', '惠英红', '樊少皇']",5.3,['2011'],"['剧情', '惊悚', '奇幻', '古装']",98,95243,汉语普通话, 中国大陆,倩女幽魂
770,林爱华,"['白百何', '郑中基', '张瑶', '郭京飞', '金尤美']",4.6,['2014'],"['喜剧', '爱情']",84,80571,汉语普通话, 中国大陆,整容日记
771,郭德纲,"['岳云鹏', '吴京', '吴秀波', '井柏然', '林志玲']",4.3,['2018'],"['喜剧', '奇幻']",95,83705,汉语普通话, 中国大陆,祖宗十九代
772,陈玉珊,"['王大陆', '林允', '陈柏融', '蔡思韵', '邰智源']",4.6,['2019'],"['喜剧', '爱情']",122,76169,汉语普通话, 中国大陆,一吻定情
773,赵真奎,"['吴亦凡', '韩庚', '卢杉', '包贝尔', '周元']",4.7,['2016'],['爱情'],93,63433,汉语普通话, 中国大陆,夏有乔木
774,顾长卫,"['杨颖', '陈赫', '张鲁一', '曹璐', '王姬']",4.5,['2014'],"['喜剧', '爱情']",98,72437,汉语普通话, 中国大陆,微爱之渐入佳境
775,黄百鸣,"['黄百鸣', '吴君如', '古天乐', '郑中基', '潘粤明']",5.2,['2010'],"['喜剧', '爱情', '古装']",93,66128,粤语, 中国大陆,花田喜事2010
776,陈玉勋,"['舒淇', '王千源', '张孝全', '曾志伟', '杨祐宁']",6.7,['2017'],"['剧情', '喜剧', '奇幻', '古装']",116,74688,汉语普通话, 中国大陆,健忘村
777,李宰汉,"['刘亦菲', '宋承宪', '欧弟', '江语晨', '孟佳']",5.1,['2015'],['爱情'],113,57667,汉语普通话, 中国大陆,第三种爱情
778,胡玫,"['周润发', '周迅', '陈建斌', '任泉', '陆毅']",5.4,['2010'],"['剧情', '传记', '历史', '古装']",125,71070,汉语普通话, 中国大陆,孔子
779,丹尼·高顿,"['章子怡', '王力宏', '林心如', '姚晨', '蔡少芬']",4.5,['2013'],"['喜剧', '爱情']",105,56087,汉语普通话, 中国大陆,非常幸运
780,田羽生,"['彭昱畅', '王大陆', '魏大勋', '曾梦雪', '贾冰']",5.1,['2019'],"['剧情', '喜剧']",107,74589,汉语普通话, 中国大陆,小小的愿望
781,陆川,"['刘烨', '吴彦祖', '张震', '秦岚', '沙溢']",5.4,['2012'],"['历史', '古装']",109,65099,汉语普通话, 中国大陆,王的盛宴
782,何念,"['郭京飞', '迪丽热巴', '大鹏', '包贝尔', '刘芮麟']",4.6,['2018'],"['喜剧', '爱情']",96,45173,汉语普通话, 中国大陆,21克拉
783,李欣蔓,"['江一燕', '郑恺', '于笑', '于嘉萌', '常方源']",4.6,['2015'],"['喜剧', '爱情']",105,41636,汉语普通话, 中国大陆,有种你爱我
784,赵林山,"['周润发', '刘亦菲', '苏有朋', '玉木宏', '伊能静']",5.1,['2012'],"['剧情', '古装']",107,49936,汉语普通话, 中国大陆,铜雀台
785,钟澍佳,"['徐熙媛', '任贤齐', '霍思燕', '陈百祥', '罗家英']",4.9,['2010'],"['喜剧', '爱情', '古装']",108,38559,汉语普通话, 中国香港,龙凤店
786,黄真真,"['周冬雨', '李治廷', '任贤齐', '梁咏琪', '窦骁']",4.9,['2011'],"['剧情', '爱情']",108,51553,汉语普通话, 中国大陆,倾城之泪
787,谷德昭,"['古天乐', '吴君如', '李菁', '王柏杰', '何沄伟']",5.0,['2011'],['喜剧'],100,45061,粤语, 中国大陆,神奇侠侣
788,叶伟信,"['古天乐', '郑秀文', '吴镇宇', '张智霖', '佘诗曼']",4.4,['2015'],"['剧情', '爱情']",100,44561,汉语普通话, 中国香港,冲上云霄
789,张琦,"['陈晓', '秦岚', '杜天皓', '刘芮麟', '李现']",5.3,['2016'],"['剧情', '爱情']",96,34536,汉语普通话, 中国大陆,睡在我上铺的兄弟
790,高希希,"['刘亦菲', '郑智薰', '王学兵', '陈冲', '邵峰']",4.8,['2014'],['爱情'],98,41931,汉语普通话, 中国大陆,露水红颜
791,刘杰,"['杨幂', '郭京飞', '李鸿其']",5.2,['2018'],['剧情'],96,37671,汉语普通话, 中国大陆,宝贝儿
792,冯小宁,"['潘长江', '郭达', '刘小微']",4.7,['2010'],['喜剧'],91,25309,汉语普通话, 中国大陆,举起手来2：追击阿多丸号
793,金帝荣,"['朴灿烈', '袁姗姗', '姜潮', '徐珠贤', '赵韦至']",4.8,['2016'],"['喜剧', '爱情']",99,30734,汉语普通话, 中国大陆,所以……和黑粉结婚了
794,戴思杰,"['刘亦菲', '刘烨', '余少群', '黎明']",4.7,['2015'],"['剧情', '爱情']",84,28235,汉语普通话, 中国大陆,夜孔雀
795,陈飞宏,"['舒淇', '冯绍峰', '宋茜', '叶青', '凤小岳']",4.4,['2016'],"['喜剧', '爱情']",91,22300,汉语普通话, 中国大陆,我最好朋友的婚礼
796,谢涤葵,"['黄磊', '黄忆慈', '陆毅', '陆雨萱', '曹格']",4.5,['2015'],"['喜剧', '家庭', '儿童']",96,17159,汉语普通话, 中国大陆,爸爸去哪儿2
797,于仁泰,"['郑少秋', '徐帆', '郑伊健', '于波', '周渝民']",6.1,['2013'],"['战争', '古装']",103,27495,汉语普通话, 中国大陆,忠烈杨家将
798,马伟豪,"['李晨', '董璇', '郑恺', '李媛', '胡睿']",5.0,['2011'],"['剧情', '喜剧', '爱情']",95,24578,汉语普通话, 中国大陆,奋斗
799,张一白,"['章子怡', '彭于晏', '佟丽娅', '周冬雨', '梁静']",3.9,['2016'],"['剧情', '爱情']",137,22758,汉语普通话, 中国大陆,奔爱
800,陈庆嘉,"['黄百鸣', '古天乐', '甄子丹', '陈慧琳', '吴君如']",4.9,['2012'],"['喜剧', '爱情']",117,23677,粤语, 中国大陆,八星抱喜
801,蒋卓原,"['景甜', '欧豪', '黑木美沙', '林遣都', '张宁江']",3.9,['2017'],['剧情'],98,16999,汉语普通话, 中国大陆,青禾男高
802,郭大雷,"['赵丽颖', '张翰', '童飞', '丁一宇', '涂世旻']",4.9,['2016'],"['喜剧', '爱情']",93,16868,汉语普通话, 中国大陆,女汉子真爱公式
803,李旗,"['林志颖', '姚笛', '午马', '徐德昕', '徐松子']",5.0,['2012'],"['剧情', '爱情', '奇幻']",118,19720,汉语普通话, 中国大陆,变身男女
804,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
805,刘镇伟,"['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛']",9.2,['1995'],"['喜剧', '爱情', '奇幻', '古装']",95,915216,粤语, 中国香港,大话西游之大圣娶亲
806,刘镇伟,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚']",9.0,['1995'],"['喜剧', '爱情', '奇幻', '古装']",87,738893,粤语, 中国香港,大话西游之月光宝盒
807,刘伟强,"['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文']",9.2,['2002'],"['剧情', '悬疑', '犯罪']",101,751378,粤语, 中国香港,无间道
808,李力持,"['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪']",8.6,['1993'],"['喜剧', '爱情', '古装']",102,601181,粤语, 中国香港,唐伯虎点秋香
809,周星驰,"['周星驰', '张柏芝', '莫文蔚', '吴孟达', '林子善']",8.7,['1999'],"['剧情', '喜剧', '爱情']",85,562446,粤语, 中国香港,喜剧之王
810,周星驰,"['周星驰', '元秋', '元华', '黄圣依', '梁小龙']",8.5,['2004'],"['喜剧', '动作', '犯罪', '奇幻']",100,528053,粤语, 中国大陆,功夫
811,程小东,"['张国荣', '王祖贤', '午马', '刘兆铭', '林威']",8.7,['1987'],"['爱情', '奇幻', '武侠', '古装']",98,433303,粤语, 中国香港,倩女幽魂
812,王家卫,"['林青霞', '金城武', '梁朝伟', '王菲', '周嘉玲']",8.7,['1994'],"['剧情', '爱情']",102,503148,粤语, 中国香港,重庆森林
813,王家卫,"['张国荣', '林青霞', '梁朝伟', '张学友', '张曼玉']",8.6,['1994'],"['剧情', '动作', '爱情', '武侠', '古装']",100,387755,粤语, 中国香港,东邪西毒
814,刘镇伟,"['梁朝伟', '林青霞', '张国荣', '叶玉卿', '张学友']",8.7,['1993'],"['喜剧', '奇幻', '武侠', '古装']",113,409512,粤语, 中国香港,射雕英雄传之东成西就
815,彭浩翔,"['杨千嬅', '余文乐', '黄德斌', '陈逸宁', '谷祖琳']",7.9,['2010'],"['剧情', '喜剧', '爱情']",104,397908,粤语, 中国香港,志明与春娇
816,罗启锐,"['吴君如', '任达华', '钟绍图', '李治廷', '蔡颖恩']",8.7,['2010'],"['剧情', '家庭']",117,414805,粤语, 中国香港,岁月神偷
817,吴宇森,"['周润发', '狄龙', '张国荣', '朱宝意', '李子雄']",8.7,['1986'],"['剧情', '动作', '犯罪']",95,304367,粤语, 中国香港,英雄本色
818,王家卫,"['张国荣', '梁朝伟', '张震']",8.9,['1997'],"['剧情', '爱情', '同性']",96,395479,粤语, 中国香港,春光乍泄
