,导演,演员,评分,类型,评价人数,语言,地区,名称
0,0,0.0,0.8591549295774648,0.5,0.2736961846658701,1,0,我不是药神
1,0,0.0,0.9859154929577465,0.0,0.23290203435333823,1,0,流浪地球
2,0,0.0,0.7746478873239437,0.0,0.289775101144214,1,0,霸王别姬
3,0,0.0,0.8873239436619718,0.75,0.4379301628021014,1,0,让子弹飞
4,0,1.0,0.8732394366197183,0.5,0.6267190420294146,1,0,一出好戏
5,0,0.0,0.9295774647887324,0.75,0.3689677731186357,1,0,哪吒之魔童降世
6,0,0.0,0.9859154929577465,0.0,0.6317361695454391,1,0,无双
7,0,0.0,0.9577464788732394,0.0,0.5958263163376725,1,0,红海行动
8,0,0.0,0.9859154929577465,0.6666666666666667,0.6352254547539828,1,0,那些年，我们一起追的女孩
9,0,0.0,0.9859154929577465,0.5,0.5925781153997844,1,0,无名之辈
10,0,0.0,0.8732394366197183,0.0,0.6321621631110638,1,0,战狼2
11,0,0.0,0.9436619718309859,0.0,0.6733758702732562,1,0,芳华
12,0,0.0,0.8873239436619719,0.0,0.7981498537695164,1,0,动物世界
13,1,1.0,0.7746478873239437,1.0,0.7349009272381924,1,0,疯狂的外星人
14,0,0.6,0.9154929577464789,1.0,0.6808336834516714,1,0,人再囧途之泰囧
15,0,0.0,0.9577464788732395,0.0,0.7040462366862381,1,0,老炮儿
16,0,0.0,0.8591549295774648,0.6666666666666667,0.7312437022585851,1,0,邪不压正
17,0,0.0,1.0,0.0,0.72315099482371,1,0,湄公河行动
18,0,0.0,0.8873239436619719,0.0,0.7387260919888633,1,0,失恋33天
19,0,0.0,0.9436619718309859,0.0,0.7086718948404456,1,0,无问西东
20,0,0.0,0.8732394366197183,0.0,0.737257350437053,1,0,后会无期
21,0,0.0,0.9436619718309859,0.0,0.7684297806952356,1,0,七月与安生
22,0,0.0,0.9577464788732394,0.5,0.7079386943765338,1,0,驴得水
23,0,0.0,0.8450704225352113,0.0,0.7224224756077723,1,0,妖猫传
