,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
0,一出好戏,黄渤,"['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟']",7.1,['2018'],"['剧情', '喜剧']",134,691022,汉语普通话, 中国大陆,39.04
1,大话西游之大圣娶亲,刘镇伟,"['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛']",9.2,['1995'],"['喜剧', '爱情', '奇幻', '古装']",95,923822,粤语, 中国香港,39.803333333333335
2,你的名字。,新海诚,"['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌']",8.4,['2016'],"['剧情', '爱情', '动画']",106,844024,日语, 日本,68.01333333333334
3,哪吒之魔童降世,饺子,"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮']",8.5,['2019'],"['剧情', '喜剧', '动画', '奇幻']",110,1145135,汉语普通话, 中国大陆,68.66333333333333
4,头号玩家,史蒂文·斯皮尔伯格,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特']",8.7,['2018'],"['动作', '科幻', '冒险']",140,900462,英语, 美国,56.76
5,海王,温子仁,"['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼']",7.6,['2018'],"['动作', '奇幻', '冒险']",143,688958,英语, 美国,63.25333333333333
6,楚门的世界,彼得·威尔,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",9.3,['1998'],"['剧情', '科幻']",103,927286,英语, 美国,56.86000000000001
7,阿凡达,詹姆斯·卡梅隆,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",8.7,['2009'],"['动作', '科幻', '冒险']",162,850075,英语, 美国,64.5
8,星际穿越,克里斯托弗·诺兰,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",9.3,['2014'],"['剧情', '科幻', '冒险']",169,944425,英语, 美国,71.56
9,少年派的奇幻漂流,李安,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",9.0,['2012'],"['剧情', '奇幻', '冒险']",127,921915,英语, 美国,60.21
10,寻梦环游记,李·昂克里奇,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托']",9.1,['2017'],"['喜剧', '动画', '音乐', '奇幻']",105,904396,英语, 美国,59.34
11,放牛班的春天,克里斯托夫·巴拉蒂,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔']",9.3,['2004'],"['剧情', '音乐']",97,824203,法语, 法国,45.27333333333333
12,无双,庄文强,"['周润发', '郭富城', '张静初', '冯文娟', '廖启智']",8.1,['2018'],"['剧情', '动作', '悬疑', '犯罪']",130,684084,汉语普通话, 中国大陆,66.51333333333334
13,飞屋环游记,彼特·道格特,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",9.0,['2009'],"['剧情', '喜剧', '动画', '冒险']",96,843055,英语, 美国,40.11333333333334
14,机器人总动员,安德鲁·斯坦顿,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗']",9.3,['2008'],"['科幻', '动画', '冒险']",98,859396,英语, 美国,52.55666666666667
15,龙猫,宫崎骏,"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣']",9.2,['1988'],"['动画', '奇幻', '冒险']",86,800641,日语, 日本,51.93
16,红海行动,林超贤,"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞']",8.3,['2018'],"['动作', '战争']",138,747961,汉语普通话, 中国大陆,63.526666666666664
17,大话西游之月光宝盒,刘镇伟,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚']",9.0,['1995'],"['喜剧', '爱情', '奇幻', '古装']",87,745969,粤语, 中国香港,39.803333333333335
18,那些年，我们一起追的女孩,九把刀,"['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪']",8.1,['2011'],"['剧情', '喜剧', '爱情']",110,676084,汉语普通话, 中国台湾,59.21333333333333
19,无名之辈,饶晓志,"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉']",8.1,['2018'],"['剧情', '喜剧']",108,751779,汉语普通话, 中国大陆,59.88666666666666
20,疯狂的外星人,宁浩,"['黄渤', '沈腾', '汤姆·派福瑞', '马修·莫里森', '徐峥']",6.4,['2019'],"['喜剧', '科幻']",116,507082,汉语普通话, 中国大陆,58.01666666666667
21,动物世界,韩延,"['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈']",7.2,['2018'],"['剧情', '动作', '冒险']",132,397318,汉语普通话, 中国大陆,67.39666666666666
22,复仇者联盟2：奥创纪元,乔斯·韦登,"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '马克·鲁弗洛', '克里斯·埃文斯', '斯嘉丽·约翰逊']",7.4,['2015'],"['动作', '科幻', '奇幻', '冒险']",142,395111,英语, 美国,68.34666666666666
23,小偷家族,是枝裕和,"['中川雅也', '安藤樱', '松冈茉优', '城桧吏', '佐佐木美结']",8.7,['2018'],"['剧情', '家庭', '犯罪']",117,493288,日语, 日本,59.47666666666667
24,本杰明·巴顿奇事,大卫·芬奇,"['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯']",8.9,['2008'],"['剧情', '爱情', '奇幻']",166,626182,英语, 美国,53.669999999999995
25,羞羞的铁拳,宋阳,"['艾伦', '马丽', '沈腾', '田雨', '宋阳']",6.9,['2017'],"['喜剧', '奇幻']",100,510075,汉语普通话, 中国大陆,66.18666666666668
26,银河护卫队,詹姆斯·古恩,"['克里斯·帕拉特', '佐伊·索尔达娜', '布莱德利·库珀', '范·迪塞尔', '戴夫·巴蒂斯塔']",8.1,['2014'],"['动作', '科幻', '冒险']",121,397676,英语, 美国,71.19
27,唐人街探案,陈思诚,"['王宝强', '刘昊然', '佟丽娅', '陈赫', '肖央']",7.6,['2015'],"['喜剧', '动作', '悬疑']",135,497738,汉语普通话, 中国大陆,64.07333333333334
28,无问西东,李芳芳,"['章子怡', '黄晓明', '张震', '王力宏', '陈楚生']",7.6,['2018'],"['剧情', '爱情', '战争']",138,551622,汉语普通话, 中国大陆,71.62333333333333
29,疯狂原始人,柯克·德·米科,"['尼古拉斯·凯奇', '艾玛·斯通', '瑞恩·雷诺兹', '凯瑟琳·基纳', '克萝丽丝·利奇曼']",8.7,['2013'],"['喜剧', '动画', '冒险']",98,556388,英语, 美国,55.580000000000005
30,失恋33天,滕华涛,"['白百何', '文章', '张嘉译', '王耀庆', '张子萱']",7.2,['2011'],"['剧情', '爱情']",110,498252,汉语普通话, 中国大陆,58.89000000000001
31,天空之城,宫崎骏,"['田中真弓', '横泽启子', '初井言荣', '寺田农', '常田富士男']",9.1,['1986'],"['动画', '奇幻', '冒险']",125,542406,日语, 日本,50.38666666666666
32,触不可及,奥利维埃·纳卡什,"['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '托马·索利韦尔']",9.2,['2011'],"['剧情', '喜剧']",112,624819,法语, 法国,54.65
33,中国合伙人,陈可辛,"['黄晓明', '邓超', '佟大为', '杜鹃', '王真儿']",7.6,['2013'],['剧情'],112,493701,英语, 中国大陆,57.696666666666665
34,禁闭岛,马丁·斯科塞斯,"['莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利', '马克斯·冯·叙多夫', '米歇尔·威廉姆斯']",8.8,['2010'],"['剧情', '悬疑', '惊悚']",138,583757,英语, 美国,62.22666666666667
35,北京遇上西雅图,薛晓路,"['汤唯', '吴秀波', '海清', '宋美曼', '宋美慧']",7.3,['2013'],"['喜剧', '爱情']",123,489008,汉语普通话, 中国大陆,69.54666666666667
36,七月与安生,曾国祥,"['周冬雨', '马思纯', '李程彬', '李萍', '蔡纲']",7.6,['2016'],"['剧情', '爱情']",109,448587,汉语普通话, 中国大陆,70.17666666666666
37,狮子王,罗杰·阿勒斯,"['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利']",9.0,['1994'],"['动画', '歌舞', '冒险']",89,484676,英语, 美国,52.81666666666666
38,驴得水,周申,"['任素汐', '大力', '刘帅良', '裴魁山', '阿如那']",8.3,['2016'],"['剧情', '喜剧']",111,556633,汉语普通话, 中国大陆,51.199999999999996
39,熔炉,黄东赫,"['孔侑', '郑有美', '金志映', '金贤秀', '郑仁絮']",9.3,['2011'],['剧情'],125,557498,韩语, 韩国,62.53
40,穿普拉达的女王,大卫·弗兰科尔,"['安妮·海瑟薇', '梅丽尔·斯特里普', '艾米莉·布朗特', '斯坦利·图齐', '西蒙·贝克']",8.1,['2006'],"['剧情', '爱情']",109,481900,英语, 美国,70.71
41,蜘蛛侠：英雄归来,乔·沃茨,"['汤姆·赫兰德', '小罗伯特·唐尼', '玛丽莎·托梅', '迈克尔·基顿', '雅各布·巴特朗']",7.4,['2017'],"['动作', '科幻', '冒险']",133,332459,英语, 美国,75.38666666666667
42,西游记之大圣归来,田晓鹏,"['张磊', '林子杰', '吴文伦', '童自荣', '刘九容']",8.3,['2015'],"['剧情', '动画', '奇幻']",89,519358,汉语普通话, 中国大陆,51.28
43,银河护卫队2,詹姆斯·古恩,"['克里斯·帕拉特', '佐伊·索尔达娜', '戴夫·巴蒂斯塔', '范·迪塞尔', '布莱德利·库珀']",8.0,['2017'],"['动作', '科幻', '冒险']",136,361690,英语, 美国,71.19
44,我的少女时代,陈玉珊,"['宋芸桦', '王大陆', '李玉玺', '简廷芮', '刘德华']",7.8,['2015'],"['喜剧', '爱情']",134,427275,汉语普通话, 中国台湾,72.13666666666667
45,指环王1：魔戒再现,彼得·杰克逊,"['伊利亚·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆']",9.0,['2001'],"['剧情', '动作', '奇幻', '冒险']",178,486621,英语, 新西兰,60.943333333333335
46,影,张艺谋,"['邓超', '孙俪', '郑恺', '王千源', '王景春']",7.2,['2018'],"['剧情', '动作', '武侠', '古装']",116,447643,汉语普通话, 中国大陆,64.7
47,敦刻尔克,克里斯托弗·诺兰,"['菲恩·怀特海德', '汤姆·格林-卡尼', '杰克·劳登', '哈里·斯泰尔斯', '阿奈林·巴纳德']",8.4,['2017'],"['剧情', '历史', '战争']",107,493101,英语, 英国,66.06666666666666
48,人在囧途,叶伟民,"['徐峥', '王宝强', '李曼', '李小璐', '左小青']",7.6,['2010'],['喜剧'],91,436640,汉语普通话, 中国大陆,47.51333333333333
49,低俗小说,昆汀·塔伦蒂诺,"['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊']",8.8,['1994'],"['剧情', '喜剧', '犯罪']",154,536299,英语, 美国,66.74
50,重庆森林,王家卫,"['林青霞', '金城武', '梁朝伟', '王菲', '周嘉玲']",8.7,['1994'],"['剧情', '爱情']",102,506765,粤语, 中国香港,60.22
51,美丽心灵,朗·霍华德,"['罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默', '保罗·贝坦尼']",9.0,['2001'],"['剧情', '传记']",135,478344,英语, 美国,65.45333333333333
52,美国队长,乔·庄斯顿,"['克里斯·埃文斯', '海莉·阿特维尔', '塞巴斯蒂安·斯坦', '汤米·李·琼斯', '雨果·维文']",7.0,['2011'],"['动作', '科幻', '冒险']",124,276513,英语, 美国,59.93333333333334
53,傲慢与偏见,乔·赖特,"['凯拉·奈特莉', '马修·麦克费登', '唐纳德·萨瑟兰', '布兰达·布莱斯', '凯瑞·穆里根']",8.6,['2005'],"['剧情', '爱情']",129,465951,英语, 法国,72.13666666666666
54,三块广告牌,马丁·麦克唐纳,"['弗兰西斯·麦克多蒙德', '伍迪·哈里森', '山姆·洛克威尔', '艾比·考尼什', '卢卡斯·赫奇斯']",8.7,['2017'],"['剧情', '犯罪']",115,537456,英语, 美国,57.49
55,消失的爱人,大卫·芬奇,"['本·阿弗莱克', '裴淳华', '尼尔·帕特里克·哈里斯', '凯莉·库恩', '泰勒·派瑞']",8.7,['2014'],"['剧情', '悬疑', '惊悚', '犯罪']",149,568070,英语, 美国,59.830000000000005
56,少年的你,曾国祥,"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越']",8.3,['2019'],"['剧情', '爱情', '犯罪']",135,0,汉语普通话, 中国大陆,70.03333333333332
57,火星救援,雷德利·斯科特,"['马特·达蒙', '杰西卡·查斯坦', '克里斯汀·韦格', '杰夫·丹尼尔斯', '迈克尔·佩纳']",8.4,['2015'],"['剧情', '科幻', '冒险']",144,448664,英语, 美国,55.97
58,王牌特工：特工学院,马修·沃恩,"['塔伦·埃格顿', '科林·费尔斯', '塞缪尔·杰克逊', '迈克尔·凯恩', '马克·斯特朗']",8.4,['2014'],"['喜剧', '动作', '冒险']",125,476943,英语, 英国,63.51333333333333
59,布达佩斯大饭店,韦斯·安德森,"['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛']",8.8,['2014'],"['剧情', '喜剧', '冒险']",99,547126,英语, 美国,68.72000000000001
60,黑豹,瑞恩·库格勒,"['查德维克·博斯曼', '露皮塔·尼永奥', '迈克尔·B·乔丹', '丹娜·奎里拉', '马丁·弗瑞曼']",6.5,['2018'],"['动作', '科幻', '冒险']",134,352000,斯瓦希里语, 美国,40.92
61,调音师,斯里兰姆·拉格万,"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉']",8.3,['2018'],"['喜剧', '悬疑', '惊悚', '犯罪']",139,532267,印地语, 印度,59.75333333333333
62,雷神3：诸神黄昏,塔伊加·维迪提,"['克里斯·海姆斯沃斯', '汤姆·希德勒斯顿', '凯特·布兰切特', '伊德里斯·艾尔巴', '杰夫·高布伦']",7.4,['2017'],"['动作', '奇幻', '冒险']",130,327039,英语, 美国,71.0
63,致命魔术,克里斯托弗·诺兰,"['休·杰克曼', '克里斯蒂安·贝尔', '迈克尔·凯恩', '丽贝卡·豪尔', '斯嘉丽·约翰逊']",8.8,['2006'],"['剧情', '悬疑', '惊悚']",130,535981,英语, 美国,57.78333333333333
64,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,"['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚']",8.7,['2012'],"['剧情', '动作', '科幻', '惊悚', '犯罪']",165,453331,英语, 美国,64.96333333333332
65,雷神,肯尼思·布拉纳,"['克里斯·海姆斯沃斯', '娜塔莉·波特曼', '汤姆·希德勒斯顿', '安东尼·霍普金斯', '斯特兰·斯卡斯加德']",7.0,['2011'],"['动作', '奇幻', '冒险']",115,251980,英语, 美国,58.75333333333333
66,2012,罗兰·艾默里奇,"['约翰·库萨克', '阿曼达·皮特', '切瓦特·埃加福', '坦迪·牛顿', '奥利弗·普莱特']",7.9,['2009'],"['动作', '科幻', '冒险', '灾难']",158,411688,英语, 美国,66.99333333333333
67,白蛇：缘起,黄家康,"['张喆', '杨天翔', '唐小喜', '刘薇', '张遥函']",7.9,['2019'],"['爱情', '动画', '奇幻']",99,437330,汉语普通话, 中国大陆,61.39333333333334
68,指环王2：双塔奇兵,彼得·杰克逊,"['伊利亚·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆']",9.1,['2002'],"['剧情', '动作', '奇幻', '冒险']",179,432985,英语, 美国,60.943333333333335
69,被嫌弃的松子的一生,中岛哲也,"['中谷美纪', '瑛太', '香川照之', '市川实日子', '伊势谷友介']",8.9,['2006'],"['剧情', '歌舞']",130,480661,日语, 日本,59.96666666666666
70,大黄蜂,特拉维斯·奈特,"['海莉·斯坦菲尔德', '小豪尔赫·兰登伯格', '约翰·塞纳', '杰森·德鲁克', '帕梅拉·阿德龙']",7.0,['2018'],"['动作', '科幻', '冒险']",114,298676,英语, 美国,54.02333333333333
71,雷神2：黑暗世界,阿兰·泰勒,"['克里斯·海姆斯沃斯', '娜塔莉·波特曼', '汤姆·希德勒斯顿', '安东尼·霍普金斯', '克里斯托弗·埃克莱斯顿']",7.4,['2013'],"['动作', '奇幻', '冒险']",112,261685,英语, 美国,64.69333333333334
72,捉妖记,许诚毅,"['白百何', '井柏然', '姜武', '金燕玲', '钟汉良']",6.7,['2015'],"['喜剧', '奇幻', '古装']",118,379477,汉语普通话, 中国大陆,60.82333333333333
73,蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂,"['沙梅克·摩尔', '杰克·约翰逊', '海莉·斯坦菲尔德', '马赫沙拉·阿里', '布莱恩·泰里·亨利']",8.6,['2018'],"['动作', '科幻', '动画', '冒险']",116,411904,英语, 美国,54.21666666666667
74,功夫熊猫,马克·奥斯本,"['杰克·布莱克', '达斯汀·霍夫曼', '安吉丽娜·朱莉', '伊恩·麦柯肖恩', '成龙']",8.0,['2008'],"['喜剧', '动作', '动画', '冒险']",95,419543,英语, 美国,45.46333333333334
75,猫鼠游戏,史蒂文·斯皮尔伯格,"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯']",8.9,['2002'],"['剧情', '传记', '犯罪']",141,463172,英语, 美国,53.31666666666666
76,告白,中岛哲也,"['松隆子', '冈田将生', '木村佳乃', '西井幸人', '桥本爱']",8.7,['2010'],"['剧情', '惊悚']",106,496987,日语, 日本,55.69
77,致命ID,詹姆斯·曼高德,"['约翰·库萨克', '雷·利奥塔', '阿曼达·皮特', '阿尔弗雷德·莫里纳', '克里·杜瓦尔']",8.8,['2003'],"['剧情', '悬疑', '惊悚']",90,489812,英语, 美国,61.25666666666666
78,金陵十三钗,张艺谋,"['克里斯蒂安·贝尔', '倪妮', '张歆怡', '黄天元', '韩熙庭']",8.1,['2011'],"['剧情', '历史', '战争']",145,445539,汉语普通话, 中国大陆,61.80333333333334
79,射雕英雄传之东成西就,刘镇伟,"['梁朝伟', '林青霞', '张国荣', '叶玉卿', '张学友']",8.7,['1993'],"['喜剧', '奇幻', '武侠', '古装']",113,412560,粤语, 中国香港,53.84
80,惊天魔盗团,路易斯·莱特里尔,"['杰西·艾森伯格', '艾拉·菲舍尔', '伍迪·哈里森', '戴夫·弗兰科', '马克·鲁弗洛']",7.6,['2013'],"['剧情', '悬疑', '犯罪']",115,375790,英语, 美国,65.71666666666667
81,怪兽电力公司,彼特·道格特,"['约翰·古德曼', '比利·克里斯托', '玛丽·吉布斯', '史蒂夫·布西密', '詹姆斯·柯本']",8.7,['2001'],"['喜剧', '动画', '儿童', '奇幻', '冒险']",92,394880,英语, 美国,52.21
82,惊奇队长,安娜·波顿,"['布丽·拉尔森', '裘德·洛', '塞缪尔·杰克逊', '本·门德尔森', '安妮特·贝宁']",6.9,['2019'],"['动作', '科幻', '冒险']",124,389160,英语, 美国,57.089999999999996
83,速度与激情7,温子仁,"['范·迪塞尔', '保罗·沃克', '杰森·斯坦森', '米歇尔·罗德里格兹', '乔丹娜·布鲁斯特']",8.3,['2015'],"['动作', '犯罪']",137,361115,英语, 美国,68.09333333333333
84,阿丽塔：战斗天使,罗伯特·罗德里格兹,"['罗莎·萨拉查', '克里斯托弗·沃尔兹', '基恩·约翰逊', '艾德·斯克林', '马赫沙拉·阿里']",7.5,['2019'],"['动作', '科幻', '冒险']",122,444972,英语, 美国,66.82666666666667
85,神奇动物在哪里,大卫·叶茨,"['埃迪·雷德梅恩', '凯瑟琳·沃特斯顿', '丹·福勒', '艾莉森·萨多尔', '科林·法瑞尔']",7.8,['2016'],"['剧情', '奇幻', '冒险']",133,429788,英语, 英国,54.300000000000004
86,致我们终将逝去的青春,赵薇,"['杨子姗', '赵又廷', '韩庚', '江疏影', '刘雅瑟']",6.6,['2013'],"['剧情', '爱情']",132,415567,汉语普通话, 中国大陆,69.79
87,拯救大兵瑞恩,史蒂文·斯皮尔伯格,"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡']",9.0,['1998'],"['剧情', '历史', '战争']",169,402840,英语, 美国,45.526666666666664
88,天堂电影院,朱塞佩·托纳多雷,"['安东内拉·阿蒂利', '恩佐·卡拉瓦勒', '艾萨·丹尼埃利', '里奥·故罗塔', '马克·莱昂纳蒂']",9.2,['1988'],"['剧情', '爱情']",155,440523,意大利语, 意大利,34.629999999999995
89,勇敢的心,梅尔·吉布森,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛']",8.9,['1995'],"['剧情', '动作', '传记', '历史', '战争']",177,410178,英语, 美国,48.089999999999996
90,心灵捕手,格斯·范·桑特,"['马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克', '斯特兰·斯卡斯加德', '明妮·德里弗']",8.9,['1997'],['剧情'],126,436791,英语, 美国,53.19333333333333
91,X战警：逆转未来,布莱恩·辛格,"['休·杰克曼', '詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '哈莉·贝瑞']",8.2,['2014'],"['剧情', '动作', '科幻', '冒险']",132,360488,英语, 美国,63.099999999999994
92,阳光灿烂的日子,姜文,"['夏雨', '宁静', '陶虹', '耿乐', '斯琴高娃']",8.8,['1994'],"['剧情', '爱情']",134,406275,汉语普通话, 中国大陆,58.63666666666668
93,入殓师,泷田洋二郎,"['本木雅弘', '广末凉子', '山崎努', '吉行和子', '笹野高史']",8.8,['2008'],['剧情'],130,420484,日语, 日本,52.156666666666666
94,暮光之城,凯瑟琳·哈德威克,"['克里斯汀·斯图尔特', '罗伯特·帕丁森', '比利·伯克', '阿什丽·格林尼', '妮基·瑞德']",7.4,['2008'],"['剧情', '爱情', '惊悚', '奇幻']",122,367767,英语, 美国,66.89333333333333
95,心花路放,宁浩,"['黄渤', '徐峥', '袁泉', '周冬雨', '陶慧']",7.1,['2014'],"['喜剧', '爱情']",118,382787,汉语普通话, 中国大陆,51.54
96,蜘蛛侠：英雄远征,乔·沃茨,"['汤姆·赫兰德', '赞达亚', '杰克·吉伦哈尔', '寇碧·史莫德斯', '塞缪尔·杰克逊']",7.8,['2019'],"['动作', '科幻', '冒险']",127,422156,英语, 美国,72.64666666666666
97,变形金刚,迈克尔·贝,"['希亚·拉博夫', '泰瑞斯·吉布森', '乔什·杜哈明', '安东尼·安德森', '梅根·福克斯']",8.2,['2007'],"['动作', '科幻']",144,338417,英语, 美国,54.66
98,鬼子来了,姜文,"['姜文', '香川照之', '袁丁', '姜宏波', '丛志军']",9.2,['2000'],"['剧情', '历史', '战争']",139,394913,汉语普通话, 中国大陆,36.153333333333336
99,恋恋笔记本,尼克·卡萨维蒂,"['瑞恩·高斯林', '瑞秋·麦克亚当斯', '吉娜·罗兰兹', '詹姆斯·加纳', '斯塔尔勒塔·杜波利斯']",8.5,['2004'],"['剧情', '爱情']",123,412538,英语, 美国,62.95666666666667
100,大鱼海棠,梁旋,"['季冠霖', '苏尚卿', '许魏洲', '金士杰', '杨婷']",6.8,['2016'],"['剧情', '动画', '奇幻']",105,360393,汉语普通话, 中国大陆,51.14333333333334
101,我和我的祖国,陈凯歌,"['黄渤', '张译', '韩昊霖', '杜江', '葛优']",7.9,['2019'],['剧情'],155,499098,汉语普通话, 中国大陆,41.41
102,记忆碎片,克里斯托弗·诺兰,"['盖·皮尔斯', '凯瑞-安·莫斯', '乔·潘托里亚诺', '小马克·布恩', '拉什·费加']",8.6,['2000'],"['剧情', '悬疑', '惊悚', '犯罪']",113,396917,英语, 美国,55.09333333333334
103,音乐之声,罗伯特·怀斯,"['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿', '佩吉·伍德']",9.0,['1965'],"['剧情', '爱情', '歌舞', '传记']",174,372108,英语, 美国,51.03
104,亲爱的,陈可辛,"['赵薇', '黄渤', '佟大为', '郝蕾', '张译']",8.4,['2014'],"['剧情', '家庭']",130,366573,汉语普通话, 中国大陆,52.46
105,死侍2：我爱我家,大卫·雷奇,"['瑞恩·雷诺兹', '乔什·布洛林', '朱利安·迪尼森', '斯蒂芬·卡皮契奇', '莎姬·贝兹']",7.3,['2018'],"['喜剧', '动作', '科幻', '冒险']",119,313296,英语, 美国,60.223333333333336
106,寄生虫,奉俊昊,"['宋康昊', '李善均', '赵汝贞', '崔宇植', '朴素丹']",8.7,['2019'],"['剧情', '喜剧']",132,500712,韩语, 韩国,56.336666666666666
107,天下无贼,冯小刚,"['刘德华', '刘若英', '王宝强', '李冰冰', '葛优']",7.9,['2004'],"['剧情', '动作', '犯罪']",113,344942,汉语普通话, 中国大陆,63.68333333333333
108,飞越疯人院,米洛斯·福尔曼,"['杰克·尼科尔森', '丹尼·德维托', '克里斯托弗·洛伊德', '路易丝·弗莱彻', '威尔·萨姆森']",9.1,['1975'],['剧情'],133,395835,英语, 美国,46.27
109,一代宗师,王家卫,"['梁朝伟', '章子怡', '张震', '宋慧乔', '赵本山']",8.0,['2013'],"['剧情', '动作', '爱情', '传记']",111,410373,汉语普通话, 中国大陆,55.68666666666667
110,画皮,陈嘉上,"['甄子丹', '周迅', '陈坤', '赵薇', '孙俪']",6.6,['2008'],"['剧情', '爱情', '惊悚', '奇幻']",103,332823,汉语普通话, 中国大陆,54.23
111,我的野蛮女友,郭在容,"['车太贤', '全智贤', '金仁文', '金太贤', '李武英']",8.2,['2001'],"['剧情', '喜剧', '爱情']",123,354855,英语, 韩国,53.13666666666668
112,英雄本色,吴宇森,"['周润发', '狄龙', '张国荣', '朱宝意', '李子雄']",8.7,['1986'],"['剧情', '动作', '犯罪']",95,306978,粤语, 中国香港,59.73333333333333
113,死侍,蒂姆·米勒,"['瑞恩·雷诺兹', '莫蕾娜·巴卡琳', '艾德·斯克林', 'T·J·米勒', '吉娜·卡拉诺']",7.7,['2016'],"['喜剧', '动作', '科幻', '冒险']",108,326378,英语, 美国,67.27333333333334
114,幽灵公主,宫崎骏,"['松田洋治', '石田百合子', '田中裕子', '小林薰', '西村雅彦']",8.9,['1997'],"['动画', '奇幻', '冒险']",134,355868,日语, 日本,58.02333333333333
115,金刚狼3：殊死一战,詹姆斯·曼高德,"['休·杰克曼', '帕特里克·斯图尔特', '达芙妮·基恩', '波伊德·霍布鲁克', '斯戴芬·莫昌特']",8.3,['2017'],"['剧情', '动作', '科幻']",123,342029,英语, 美国,55.973333333333336
116,两小无猜,杨·塞谬尔,"['吉约姆·卡内', '玛丽昂·歌迪亚', '蒂博•费尔哈格', '约瑟芬·勒巴-乔利', '艾曼妞·格伦沃尔德']",8.0,['2003'],"['剧情', '喜剧', '爱情']",93,379957,法语, 法国,60.35333333333333
117,哈利·波特与密室,克里斯·哥伦布,"['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '汤姆·费尔顿', '理查德·格雷弗斯']",8.5,['2002'],"['奇幻', '冒险']",161,322489,英语, 美国,66.28666666666668
118,史密斯夫妇,道格·里曼,"['布拉德·皮特', '安吉丽娜·朱莉', '文斯·沃恩', '亚当·布罗迪', '凯丽·华盛顿']",7.7,['2005'],"['喜剧', '动作', '爱情']",120,344561,英语, 美国,51.21
