,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
243,雪国列车,奉俊昊,"['克里斯·埃文斯', '杰米·贝尔', '宋康昊', '蒂尔达·斯文顿', '艾德·哈里斯']",7.4,['2013'],"['剧情', '动作', '科幻', '灾难']",125,268734,英语, 韩国,57.79333333333333
244,大侦探皮卡丘,罗伯·莱特曼,"['瑞恩·雷诺兹', '贾斯蒂斯·史密斯', '凯瑟琳·纽顿', '克里斯·吉尔', '比尔·奈伊']",6.5,['2019'],"['喜剧', '动画', '奇幻', '冒险']",104,278246,英语, 美国,73.03666666666668
245,江湖儿女,贾樟柯,"['赵涛', '廖凡', '徐峥', '梁嘉艳', '刁亦男']",7.6,['2018'],"['爱情', '犯罪']",137,204928,汉语普通话, 中国大陆,72.31666666666666
246,公主日记,盖瑞·马歇尔,"['安妮·海瑟薇', '朱莉·安德鲁斯', '埃克托尔·埃利松多', '希瑟·玛塔拉佐', '曼迪·摩尔']",7.5,['2001'],"['喜剧', '爱情', '家庭']",115,229257,英语, 美国,63.199999999999996
247,窃听风云,麦兆辉,"['刘青云', '古天乐', '吴彦祖', '张静初', '方中信']",7.5,['2009'],"['剧情', '动作', '惊悚']",100,216814,粤语, 中国香港,47.276666666666664
248,巨齿鲨,乔·德特杜巴,"['杰森·斯坦森', '李冰冰', '雷恩·威尔森', '鲁比·罗丝', '赵文瑄']",5.7,['2018'],"['动作', '科幻', '惊悚']",115,171658,英语, 美国,56.71666666666667
249,惊天魔盗团2,朱浩伟,"['杰西·艾森伯格', '马克·鲁弗洛', '伍迪·哈里森', '戴夫·弗兰科', '丹尼尔·雷德克里夫']",6.7,['2016'],"['剧情', '悬疑', '犯罪']",130,199875,英语, 美国,64.09666666666668
250,里约大冒险,卡洛斯·沙尔丹哈,"['杰西·艾森伯格', '安妮·海瑟薇', '乔治·洛佩兹', '罗德里戈·桑托罗', '凯特·德尔·卡斯蒂洛']",8.3,['2011'],"['喜剧', '动画', '冒险']",96,263491,英语, 美国,75.27
251,美食总动员,布拉德·伯德,"['帕顿·奥斯瓦尔特', '彼得·奥图尔', '布拉德·加内特', '伊安·霍姆', '卢·罗曼诺']",8.4,['2007'],"['喜剧', '动画', '奇幻']",111,245145,英语, 美国,43.68333333333333
252,单身男女,杜琪峰,"['古天乐', '吴彦祖', '高圆圆', '林雪', '尹子维']",6.8,['2011'],"['喜剧', '爱情']",115,250562,粤语, 中国香港,56.16
